anio,edad,sexo,cantidad_personas,condicion_asist_escolar
2010,20.0,m,66,Nunca asistió
2010,20.0,m,8409,No asiste pero asistió
2010,20.0,m,-,Ignorado
2010,20.0,v,11980,Asiste
2010,20.0,v,77,Nunca asistió
2010,20.0,v,9091,No asiste pero asistió
2010,20.0,v,-,Ignorado
2010,21.0,m,12795,Asiste
2010,21.0,m,85,Nunca asistió
2010,21.0,m,9528,No asiste pero asistió
2010,21.0,m,-,Ignorado
2010,21.0,v,10938,Asiste
2010,21.0,v,91,Nunca asistió
2010,21.0,v,10174,No asiste pero asistió
2010,21.0,v,-,Ignorado
2010,22.0,m,12129,Asiste
2010,22.0,m,100,Nunca asistió
2010,22.0,m,10943,No asiste pero asistió
2010,22.0,m,-,Ignorado
2010,22.0,v,10484,Asiste
2010,22.0,v,99,Nunca asistió
2010,22.0,v,11437,No asiste pero asistió
2010,22.0,v,-,Ignorado
2010,23.0,m,11748,Asiste
2010,23.0,m,90,Nunca asistió
2010,23.0,m,12590,No asiste pero asistió
2010,23.0,m,-,Ignorado
2010,23.0,v,9859,Asiste
2010,23.0,v,76,Nunca asistió
2010,23.0,v,12814,No asiste pero asistió
2010,23.0,v,-,Ignorado
2010,24.0,m,10557,Asiste
2010,24.0,m,110,Nunca asistió
2010,24.0,m,14348,No asiste pero asistió
2010,24.0,m,-,Ignorado
2010,24.0,v,9227,Asiste
2010,24.0,v,108,Nunca asistió
2010,24.0,v,14460,No asiste pero asistió
2010,24.0,v,-,Ignorado
